Age of Householder,Married-couples familes,,"Male householder, no wife present",,"Female householder, no husband present",,"Male householder, one person present",,"Female householder, one person present",,"Male householder,Other 2-or-more person households",,"Female householder, Other 2-or-more person households",,"Male householder, single householders",,"Female householder, single householders",,
...25 to 29 years........................................................,"2,902","1,429",752,303,"1,492",329,"1,334",284,961,148,"1,054",204,628,119,"3,140",791,"3,081",596,
...30 to 34 years..........................................................,"4,957","3,071",718,314,"1,591",395,"1,174",339,795,214,643,199,311,98,"2,535",852,"2,697",706,
...35 to 39 years........................................................,"5,569","3,938",651,272,"1,735",590,"1,015",370,650,230,354,143,160,58,"2,020",786,"2,544",878,
...40 to 44 years......................................................,"5,629","4,301",607,325,"1,650",705,964,377,666,259,248,109,147,64,"1,820",811,"2,463","1,028",
...45 to 49 years........................................................,"5,866","4,761",610,368,"1,479",703,"1,244",578,881,395,290,145,192,99,"2,143","1,091","2,552","1,197",
...50 to 54 years.......................................................,"6,095","5,216",544,343,"1,347",772,"1,430",754,"1,290",662,322,186,243,144,"2,297","1,283","2,881","1,577",
...55 to 59 years........................................................,"6,151","5,420",471,315,"1,128",688,"1,692",914,"1,730",981,304,186,257,178,"2,467","1,415","3,116","1,847",
...60 to 64 years.........................................................,"5,613","5,024",335,237,796,500,"1,510",846,"1,996","1,233",230,153,207,144,"2,075","1,237","3,000","1,878",
...65 to 69 years.........................................................,"5,134","4,671",216,160,694,475,"1,250",749,"2,033","1,335",169,121,176,131,"1,634","1,030","2,902","1,941",
...70 to 74 years........................................................,"3,457","3,203",151,115,468,350,869,581,"1,830","1,293",103,80,98,72,"1,123",777,"2,395","1,716",
...75 years and over.................................................,"4,361","3,941",272,229,"1,032",856,"1,779","1,195","4,755","3,182",117,84,126,88,"2,168","1,508","5,913","4,126",
,,,,,,,,,,,,,,,,,,,
É..Less than 35 years.............................................,"8,749","4,795","2,424","1,009","4,373","1,083","3,285",728,"2,464",426,"2,526",477,"1,679",282,"8,235","2,214","8,516","1,792",
É..35 to 44 years.........................................................,"11,197","8,240","1,257",597,"3,385","1,295","1,980",747,"1,316",489,602,253,307,122,"3,839","1,597","5,008","1,906",
É..45 to 54 years.....................................................,"11,961","9,977","1,154",711,"2,826","1,475","2,674","1,332","2,171","1,057",612,330,435,242,"4,440","2,374","5,433","2,774",
É..55 to 64 years......................................................,"11,764","10,444",806,553,"1,925","1,189","3,202","1,761","3,727","2,215",534,338,464,322,"4,542","2,652","6,116","3,725",
É..65 years and over.............................................,"12,952","11,815",638,504,"2,193","1,682","3,897","2,525","8,618","5,810",390,285,399,291,"4,925","3,315","11,211","7,783",
2017,Total,Owner,Total,Owner,Total,Owner,Total,Owner,Total ,Owner,Total,Owner,Total,Owner,Total,Owner,Total,Owner,
"United States, total.....................","57,097","45,761","6,303","3,501","14,552","6,796","15,228","7,204","18,659","10,251","4,776","1,774","3,348","1,318","26,307","12,479","36,559","18,365",
...Less than 25 years..............................................,873,294,977,392,"1,185",337,736,118,668,70,809,73,718,61,"2,521",584,"2,571",468,
...25 to 29 years........................................................,"3,027","1,498",772,321,"1,445",322,"1,338",298,978,184,"1,085",216,667,148,"3,195",834,"3,090",653,
...30 to 34 years..........................................................,"4,888","3,019",667,295,"1,602",437,"1,248",364,822,226,636,209,335,112,"2,551",867,"2,759",775,
...35 to 39 years........................................................,"5,715","4,065",629,305,"1,715",619,"1,079",403,722,257,363,140,172,72,"2,072",848,"2,609",948,
...40 to 44 years......................................................,"5,501","4,184",609,336,"1,622",708,965,378,662,259,276,111,137,64,"1,851",825,"2,420","1,031",
